; testowy komentarz
txt_player164 = player164
txt_player165 = player165
txt_player166 = player166
txt_player167 = player167
txt_player168 = player168
txt_player169 = player169
txt_player170 = player170
txt_player171 = player171
txt_player172 = player172
txt_player173 = player173
txt_player174 = player174
txt_player175 = player175
txt_player176 = player176
txt_player177 = player177
txt_player178 = player178
txt_player179 = player179
txt_player180 = player180
txt_player181 = player181
txt_player182 = player182
txt_player183 = player183
txt_player184 = player184
txt_player185 = player185
txt_player186 = player186
txt_player187 = player187
txt_player188 = player188
txt_player189 = player189
txt_player190 = player190
txt_player191 = player191
txt_player192 = player192
txt_player193 = player193
txt_player194 = player194
txt_player195 = player195
txt_player196 = player196
txt_player197 = player197
txt_player198 = player198
txt_player199 = player199
txt_player200 = player200
txt_player201 = player201
txt_player202 = player202
txt_player203 = player203
txt_player204 = player204
txt_player205 = player205
txt_player206 = player206
txt_player207 = player207
txt_player208 = player208
txt_player209 = player209
txt_player210 = player210
txt_player211 = player211
txt_player212 = player212
txt_player213 = player213
txt_player214 = player214
txt_player215 = player215
txt_player216 = player216
txt_player217 = player217
txt_player218 = player218
txt_player219 = player219
txt_player220 = player220
txt_player221 = player221
txt_player222 = player222
txt_player223 = player223
txt_player224 = player224
txt_player225 = player225
txt_player226 = player226
txt_player227 = player227
txt_player228 = player228
txt_player229 = player229
txt_player230 = player230
txt_player231 = player231
txt_player232 = player232
txt_player233 = player233
txt_player234 = player234
txt_player235 = player235
txt_player236 = player236
txt_player237 = player237
txt_player238 = player238
txt_player239 = player239
txt_player240 = player240
txt_player241 = player241
txt_player242 = player242
txt_player243 = player243
txt_player244 = player244
txt_player245 = player245
txt_player246 = player246
txt_player247 = player247
txt_player248 = player248
txt_player249 = player249
txt_player250 = player250
txt_player251 = player251
txt_player252 = player252
txt_player253 = player253
txt_player254 = player254
txt_player255 = player255
txt_player256 = player256
txt_player257 = player257
txt_player258 = player258
txt_player259 = player259
txt_player260 = player260
txt_player261 = player261
txt_player262 = player262
txt_player263 = player263
txt_player264 = player264
txt_player265 = player265
txt_player266 = player266
txt_player267 = player267
txt_player268 = player268
txt_player269 = player269
txt_player270 = player270
txt_player271 = player271
txt_player272 = player272
txt_player273 = player273
txt_player274 = player274
txt_player275 = player275
txt_player276 = player276
txt_player277 = player277
txt_player278 = player278
txt_player279 = player279
txt_player280 = player280
txt_player281 = player281
txt_player282 = player282
txt_player283 = player283
txt_player284 = player284
txt_player285 = player285
txt_player286 = player286
txt_player287 = player287
txt_player288 = player288
txt_player289 = player289
txt_player290 = player290
txt_player291 = player291
txt_player292 = player292
txt_player293 = player293
txt_player294 = player294
txt_player295 = player295
txt_player296 = player296
txt_player297 = player297
txt_player298 = player298
txt_player299 = player299
txt_player300 = player300
txt_player301 = player301
txt_player302 = player302
txt_player303 = player303
txt_player304 = player304
txt_player305 = player305
txt_player306 = player306
txt_player307 = player307
txt_player308 = player308
txt_player309 = player309
txt_player310 = player310
txt_player311 = player311
txt_player312 = player312
txt_player313 = player313
txt_player314 = player314
txt_player315 = player315
txt_player316 = player316
txt_player317 = player317
txt_player318 = player318
txt_player319 = player319
txt_player320 = player320
txt_player321 = player321
txt_player322 = player322
txt_player323 = player323
txt_player324 = player324
txt_player325 = player325
txt_player326 = player326
txt_player327 = player327
txt_player328 = player328
txt_player329 = player329
txt_player330 = player330
txt_player331 = player331
txt_player332 = player332
txt_player333 = player333
txt_player334 = player334
txt_player335 = player335
txt_player336 = player336
txt_player337 = player337
txt_player338 = player338
txt_player339 = player339
txt_player340 = player340
txt_player341 = player341
txt_player342 = player342
txt_player343 = player343
txt_player344 = player344
txt_player345 = player345
txt_player346 = player346
txt_player347 = player347
txt_player348 = player348
txt_player349 = player349
txt_player350 = player350
txt_player351 = player351
txt_player352 = player352
txt_player353 = player353
txt_player354 = player354
txt_player355 = player355
txt_player356 = player356
txt_player357 = player357
txt_player358 = player358
txt_player359 = player359
txt_player360 = player360
txt_player361 = player361
txt_player362 = player362
txt_player363 = player363
txt_player364 = player364
txt_player365 = player365
txt_player366 = player366
txt_player367 = player367
txt_player368 = player368
txt_player369 = player369
txt_player370 = player370
txt_player371 = player371
txt_player372 = player372
txt_player373 = player373
txt_player374 = player374
txt_player375 = player375
txt_player376 = player376
txt_player377 = player377
txt_player378 = player378
txt_player379 = player379
txt_player380 = player380
txt_player381 = player381
txt_player382 = player382
txt_player383 = player383
txt_player384 = player384
txt_player385 = player385
txt_player386 = player386
txt_player387 = player387
txt_player388 = player388
txt_player389 = player389
txt_player390 = player390
txt_player391 = player391
txt_player392 = player392
txt_player393 = player393
txt_player394 = player394
txt_player395 = player395
txt_player396 = player396
txt_player397 = player397
txt_player398 = player398
txt_player399 = player399
txt_player400 = player400
txt_player401 = player401
txt_player402 = player402
txt_player403 = player403
txt_player404 = player404
txt_player405 = player405
txt_player406 = player406
txt_player407 = player407
txt_player408 = player408
txt_player409 = player409
txt_player410 = player410
txt_player411 = player411
txt_player412 = player412
txt_player413 = player413
txt_player414 = player414
txt_player415 = player415
txt_player416 = player416
txt_player417 = player417
txt_player418 = player418
txt_player419 = player419
txt_player420 = player420
txt_player421 = player421
txt_player422 = player422
txt_player423 = player423
txt_player424 = player424
txt_player425 = player425
txt_player426 = player426
txt_player427 = player427
txt_player428 = player428
txt_player429 = player429
txt_player430 = player430
txt_player431 = player431
txt_player432 = player432
txt_player433 = player433
txt_player434 = player434
txt_player435 = player435
txt_player436 = player436
txt_player437 = player437
txt_player438 = player438
txt_player439 = player439
txt_player440 = player440
txt_player441 = player441
txt_player442 = player442
txt_player443 = player443
txt_player444 = player444
txt_player445 = player445
txt_player446 = player446
txt_player447 = player447
txt_player448 = player448
txt_player449 = player449
txt_player450 = player450
txt_player451 = player451
txt_player452 = player452
txt_player453 = player453
txt_player454 = player454
txt_player455 = player455
txt_player456 = player456
txt_player457 = player457
txt_player458 = player458
txt_player459 = player459
txt_player460 = player460
txt_player461 = player461
txt_player462 = player462
txt_player463 = player463
txt_player464 = player464
txt_player465 = player465
txt_player466 = player466
txt_player467 = player467
txt_player468 = player468
txt_player469 = player469
txt_player470 = player470
txt_player471 = player471
txt_player472 = player472
txt_player473 = player473
txt_player474 = player474
txt_player475 = player475
txt_player476 = player476
txt_player477 = player477
txt_player478 = player478
txt_player479 = player479
txt_player480 = player480
txt_player481 = player481
txt_player482 = player482
txt_player483 = player483
txt_player484 = player484
txt_player485 = player485
txt_player486 = player486
txt_player487 = player487
txt_player488 = player488
txt_player489 = player489
txt_player490 = player490
txt_player491 = player491
txt_player492 = player492
txt_player493 = player493
txt_player494 = player494
txt_player495 = player495
txt_player496 = player496
txt_player497 = player497
txt_player498 = player498
txt_player499 = player499
